src,tgt
ClCCl.CC(=O)O.CCOC(C)=O.COC(=O)c1ccc2c(C3CCCCC3)c3n(c2c1)CC(NCCN(C)C)Cc1ccccc1-3.C=O,COC(=O)c1ccc2c(C3CCCCC3)c3n(c2c1)CC(N(C)CCN(C)C)Cc1ccccc1-3
C=O.C1CCCC(c2c3n(c4cc(C(=O)OC)ccc24)CC(NCCN(C)C)Cc2ccccc2-3)C1.CCOC(C)=O.C(Cl)Cl.CC(=O)O,C1CCCC(c2c3n(c4cc(C(=O)OC)ccc24)CC(N(C)CCN(C)C)Cc2ccccc2-3)C1
OC(C)=O.C=O.C(CNC1Cc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)OC)cc3n2C1)N(C)C.ClCCl.C(C)(=O)OCC,C(CN(C)C1Cc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)OC)cc3n2C1)N(C)C
CC(=O)OCC.CC(=O)O.c12ccc(C(=O)OC)cc1n1c(c2C2CCCCC2)-c2ccccc2CC(NCCN(C)C)C1.O=C.ClCCl,c12ccc(C(=O)OC)cc1n1c(c2C2CCCCC2)-c2ccccc2CC(N(C)CCN(C)C)C1
O(CC)C(C)=O.N(CCN(C)C)C1Cc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)OC)cc3n2C1.CC(=O)O.C(Cl)Cl.O=C,N(C)(CCN(C)C)C1Cc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)OC)cc3n2C1
O=C(c1ccc(Oc2ncccc2C2=CCOCC2)cc1)c1nc2ccccc2s1.[OH-].[OH-].C1CCOC1.[Pd+2],OC(c1ccc(Oc2ncccc2C2=CCOCC2)cc1)c1nc2ccccc2s1
c1cccc2sc(C(=O)c3ccc(Oc4ncccc4C4=CCOCC4)cc3)nc12.[OH-].C1CCOC1.[Pd+2].[OH-],c1cccc2sc(C(O)c3ccc(Oc4ncccc4C4=CCOCC4)cc3)nc12
[OH-].O1CCCC1.[Pd+2].c1(C(=O)c2ccc(Oc3ncccc3C3=CCOCC3)cc2)nc2ccccc2s1.[OH-],c1(C(O)c2ccc(Oc3ncccc3C3=CCOCC3)cc2)nc2ccccc2s1
[Pd+2].[OH-].[OH-].C1C=C(c2cccnc2Oc2ccc(C(=O)c3nc4ccccc4s3)cc2)CCO1.C1CCOC1,C1C=C(c2cccnc2Oc2ccc(C(O)c3nc4ccccc4s3)cc2)CCO1
[Pd+2].O1CCCC1.c1ccnc(Oc2ccc(C(=O)c3nc4ccccc4s3)cc2)c1C1=CCOCC1.[OH-].[OH-],c1ccnc(Oc2ccc(C(O)c3nc4ccccc4s3)cc2)c1C1=CCOCC1
O=C(Cl)c1ccccc1.Cl.CN(C(=O)c1ccc(Cl)cc1)C1CCN(C(=O)C2CCCNC2)CC1c1ccc(Cl)c(Cl)c1,CN(C(=O)c1ccc(Cl)cc1)C1CCN(C(=O)C2CCCN(C(=O)c3ccccc3)C2)CC1c1ccc(Cl)c(Cl)c1
