system,src,tgt
Convert natural language to regular expression.,"lines with words with a character, the string 'dog', and a capital letter",\b(.)&(dog)&([A-Z])\b
Convert natural language to regular expression.,"lines with a lower-case letter, 3 or more times before a character","(([a-z]){3,}).*(.).*"
Convert natural language to regular expression.,"lines having either a lower-case letter, a capital letter, or the string 'dog' before a vowel",(([a-z])|([A-Z])|(dog)).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines not ending with a lower-case letter at least once,~(((.*)([a-z]))+)
Convert natural language to regular expression.,lines starting with a character or a letter,((.)|([A-Za-z]))(.*)
Convert natural language to regular expression.,lines with the string 'dog' or a character before a number,((dog)|(.)).*([0-9]).*
Convert natural language to regular expression.,"lines with the string 'dog' before not a vowel, 2 or more times","(dog).*(~(([AEIOUaeiou]){2,})).*"
Convert natural language to regular expression.,"lines with words with starting with the string 'dog', 2 or more times","\b((dog)(.*)){2,}\b"
Convert natural language to regular expression.,lines with words with a capital letter and a lower-case letter,\b([A-Z])&([a-z])\b
Convert natural language to regular expression.,lines containing a capital letter before a lower-case letter followed by a vowel,(.*[A-Z].*).*([a-z].*[AEIOUaeiou].*).*
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a character, or a letter",\b([a-z])|(.)|([A-Za-z])\b
Convert natural language to regular expression.,lines with words with the string 'dog' or starting with a vowel,\b(dog)|(([AEIOUaeiou])(.*))\b
Convert natural language to regular expression.,lines with a lower-case letter before the string 'dog' or a vowel,([a-z]).*((dog)|([AEIOUaeiou])).*
Convert natural language to regular expression.,"lines with a vowel, 5 or more times before a character","(([AEIOUaeiou]){5,}).*(.).*"
Convert natural language to regular expression.,"lines not having a number, a vowel, or a character",~(([0-9])|([AEIOUaeiou])|(.))
Convert natural language to regular expression.,"lines not having a capital letter, not a number, and not a letter",~(([A-Z])&([0-9])&([A-Za-z]))
Convert natural language to regular expression.,lines with words with a vowel or a capital letter,\b([AEIOUaeiou])|([A-Z])\b
Convert natural language to regular expression.,lines ending with the string 'dog' followed by the string 'truck',(.*)(dog.*truck.*)
Convert natural language to regular expression.,lines with a letter or the string 'dog' before a lower-case letter,(([A-Za-z])|(dog)).*([a-z]).*
Convert natural language to regular expression.,lines with words that don't have a number before a vowel,\b(~([0-9])).*([AEIOUaeiou]).*\b
Convert natural language to regular expression.,"lines ending with the string 'dog', 4 or more times or a capital letter","(.*)(((dog){4,})|([A-Z]))"
Convert natural language to regular expression.,"lines with a lower-case letter or a letter, 4 or more times","(([a-z])|([A-Za-z])){4,}"
