example_id,split,source,target,serialization,group_id,augmentation_index
train-001509715,train,CNC(=O)NCC(C(=O)Nc1ccccc1)c1ccc(C(=O)Nc2cc(-c3ccsc3)ccc2NC(=O)OC(C)(C)C)cc1.O=C([O-])O.CCOC(C)=O.[Na+].ClCCl.O=C(O)C(F)(F)F,CNC(=O)NCC(C(=O)Nc1ccccc1)c1ccc(C(=O)Nc2cc(-c3ccsc3)ccc2N)cc1,r_smiles,train-group-000301943,0
train-001509716,train,N(C(=O)c1ccc(C(CNC(=O)NC)C(=O)Nc2ccccc2)cc1)c1cc(-c2ccsc2)ccc1NC(=O)OC(C)(C)C.C(Cl)Cl.[Na+].O=C([O-])O.C(C)(=O)OCC.C(F)(F)(F)C(=O)O,N(C(=O)c1ccc(C(CNC(=O)NC)C(=O)Nc2ccccc2)cc1)c1cc(-c2ccsc2)ccc1N,r_smiles,train-group-000301943,1
train-001509717,train,OC(=O)[O-].ClCCl.O=C(C)OCC.C(=O)(O)C(F)(F)F.c1ccccc1NC(=O)C(CNC(=O)NC)c1ccc(C(=O)Nc2cc(-c3ccsc3)ccc2NC(=O)OC(C)(C)C)cc1.[Na+],c1ccccc1NC(=O)C(CNC(=O)NC)c1ccc(C(=O)Nc2cc(-c3ccsc3)ccc2N)cc1,r_smiles,train-group-000301943,2
train-001509718,train,[O-]C(=O)O.CC(=O)OCC.ClCCl.FC(F)(F)C(=O)O.C(=O)(Nc1ccc(-c2ccsc2)cc1NC(=O)c1ccc(C(CNC(=O)NC)C(=O)Nc2ccccc2)cc1)OC(C)(C)C.[Na+],Nc1ccc(-c2ccsc2)cc1NC(=O)c1ccc(C(CNC(=O)NC)C(=O)Nc2ccccc2)cc1,r_smiles,train-group-000301943,3
train-001509719,train,C(F)(F)(F)C(=O)O.OC(=O)[O-].C(C)(=O)OCC.[Na+].c1cc(C(=O)Nc2cc(-c3ccsc3)ccc2NC(=O)OC(C)(C)C)ccc1C(CNC(=O)NC)C(=O)Nc1ccccc1.C(Cl)Cl,c1cc(C(=O)Nc2cc(-c3ccsc3)ccc2N)ccc1C(CNC(=O)NC)C(=O)Nc1ccccc1,r_smiles,train-group-000301943,4
train-000625880,train,C[Si](C)(C)[N-][Si](C)(C)C.Cc1ccccn1.C1CCOC1.[Li+].CCOC(=O)c1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1,C(=O)(Cc1ccccn1)c1ccc(OC2CCN(C(=O)OC(C)(C)C)CC2)cc1,r_smiles,train-group-000125176,0
train-000625881,train,[Li+].C1CCOC1.C1CC(Oc2ccc(C(=O)OCC)cc2)CCN1C(=O)OC(C)(C)C.Cc1ccccn1.[Si](C)(C)(C)[N-][Si](C)(C)C,C1CC(Oc2ccc(C(=O)Cc3ccccn3)cc2)CCN1C(=O)OC(C)(C)C,r_smiles,train-group-000125176,1
train-000625882,train,[Li+].N1(C(=O)OC(C)(C)C)CCC(Oc2ccc(C(=O)OCC)cc2)CC1.C[Si](C)(C)[N-][Si](C)(C)C.n1ccccc1C.O1CCCC1,N1(C(=O)OC(C)(C)C)CCC(Oc2ccc(C(=O)Cc3ccccn3)cc2)CC1,r_smiles,train-group-000125176,2
train-000625883,train,C1CCOC1.[Li+].C1CC(Oc2ccc(C(=O)OCC)cc2)CCN1C(=O)OC(C)(C)C.c1cccc(C)n1.[Si](C)(C)(C)[N-][Si](C)(C)C,C1CC(Oc2ccc(C(=O)Cc3ccccn3)cc2)CCN1C(=O)OC(C)(C)C,r_smiles,train-group-000125176,3
train-000625884,train,CC(C)(C)OC(=O)N1CCC(Oc2ccc(C(=O)OCC)cc2)CC1.c1ccc(C)nc1.C1CCCO1.C[Si](C)(C)[N-][Si](C)(C)C.[Li+],CC(C)(C)OC(=O)N1CCC(Oc2ccc(C(=O)Cc3ccccn3)cc2)CC1,r_smiles,train-group-000125176,4
train-000387610,train,Clc1cc(Cl)c(Cl)nc1Cl.COCC1COC(=O)N1c1ccc(C(=O)N2CCNCC2)cc1,COCC1COC(=O)N1c1ccc(C(=O)N2CCN(c3nc(Cl)c(Cl)cc3Cl)CC2)cc1,r_smiles,train-group-000077522,0
train-000387611,train,c1cc(N2C(=O)OCC2COC)ccc1C(=O)N1CCNCC1.n1c(Cl)c(Cl)cc(Cl)c1Cl,c1cc(N2C(=O)OCC2COC)ccc1C(=O)N1CCN(c2nc(Cl)c(Cl)cc2Cl)CC1,r_smiles,train-group-000077522,1
train-000387612,train,c1cc(C(=O)N2CCNCC2)ccc1N1C(=O)OCC1COC.c1(Cl)cc(Cl)c(Cl)nc1Cl,c1cc(C(=O)N2CCN(c3nc(Cl)c(Cl)cc3Cl)CC2)ccc1N1C(=O)OCC1COC,r_smiles,train-group-000077522,2
train-000387613,train,Clc1nc(Cl)c(Cl)cc1Cl.N1(C(=O)c2ccc(N3C(=O)OCC3COC)cc2)CCNCC1,N1(C(=O)c2ccc(N3C(=O)OCC3COC)cc2)CCN(c2nc(Cl)c(Cl)cc2Cl)CC1,r_smiles,train-group-000077522,3
train-000387614,train,O=C(c1ccc(N2C(=O)OCC2COC)cc1)N1CCNCC1.c1(Cl)nc(Cl)c(Cl)cc1Cl,O=C(c1ccc(N2C(=O)OCC2COC)cc1)N1CCN(c2nc(Cl)c(Cl)cc2Cl)CC1,r_smiles,train-group-000077522,4
train-000626290,train,C1CCOC1.Cl.COC(=O)c1cc(C(OC)OC)cnc1C(=O)OC,COC(=O)c1cc(C=O)cnc1C(=O)OC,r_smiles,train-group-000125258,0
train-000626291,train,c1(C(=O)OC)ncc(C(OC)OC)cc1C(=O)OC.Cl.C1CCOC1,c1(C(=O)OC)ncc(C=O)cc1C(=O)OC,r_smiles,train-group-000125258,1
train-000626292,train,Cl.C1CCCO1.COC(=O)c1cc(C(OC)OC)cnc1C(=O)OC,COC(=O)c1cc(C=O)cnc1C(=O)OC,r_smiles,train-group-000125258,2
train-000626293,train,Cl.O(C)C(=O)c1ncc(C(OC)OC)cc1C(=O)OC.C1CCOC1,O(C)C(=O)c1ncc(C=O)cc1C(=O)OC,r_smiles,train-group-000125258,3
train-000626294,train,c1nc(C(=O)OC)c(C(=O)OC)cc1C(OC)OC.O1CCCC1.Cl,c1nc(C(=O)OC)c(C(=O)OC)cc1C=O,r_smiles,train-group-000125258,4
