src,tgt
CC(=O)NCCCC=O,CC(=O)NCCCCN
Oc1ccc(Br)cc1O,O=C1C=CC(Br)=CC1=O
CC/C=C\C/C=C\C/C=C\CCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)([O-])[O-],CC/C=C\C/C=C\C/C=C\CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CCCCCCCCCCCC(=O)O[C@@H]1CC[C@]2(C)C(=CCC3C2CC[C@]2(C)C3CCC2[C@@H](C)CCCC(C)C)C1
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1
CN1C(=O)N=C(O)C(C)(C23CCCCC2O3)C1=O,CN1C(=O)NC(=O)C(C)(C2(O)CCCCC2O)C1=O
CNC(=O)CCCCC1CCSS1,CCC(C)C(=O)SCCC(S)CCCCC(=O)NC
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,CN1CC[C@]23c4c5ccc(OC6OC(CO)C(O)C(O)C6O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
O=C(O)C(=O)CS(=O)(=O)O,N[C@@H](CS(=O)(=O)O)C(=O)O
O=CNN=CC(=O)O,NNC=O
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,N=CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
N[C@@H](Cc1ccc(O)cc1)C(=O)O,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCCC=CC/C=C\C/C=C\C/C=C\CC(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
OC1C=Cc2ccccc2C1O,Oc1ccc2ccccc2c1O
CCCCC/C=C\C/C=C\CCC/C=C/C(=O)SCCN=C([O-])CCN=C([O-])[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCC/C=C\C/C=C\CCCC(=O)SCCN=C([O-])CCN=C([O-])C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
CC1OC(CO)C(OP(=O)(O)OCC2OC(C)C(O)C2OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O)C1O,C[Se]CCC(N)C(=O)OC1C(O)C(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)OC1n1cnc2c(N)ncnc21
CC(=O)CC[C@H](NC(=O)c1ccc(N(C=O)C[C@@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)[O-],CC(=O)CC[C@H](NC(=O)c1ccc(NC[C@@H]2CNc3nc(N)[nH]c(=O)c3N2)cc1)C(=O)[O-]
OC[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,O=C1O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]1O
